fid,Nom,azimuth,type,longueur,x1,y1,x2,y2,magnitude
"418",,86.4482666451853,,950.328377308629,694396.035315182,6495553.78843632,695344.538368051,6495612.6610396,5.1
"419",,61.313852426297,,790.400413372435,695756.646591021,6496521.91569028,696450.03502967,6496901.31691143,4.9
"420",,16.760110832392,,1769.38531809498,695089.423753831,6495893.94125528,695599.652982271,6497588.16394972,5.8
"421",,146.309932474034,,1084.92630368568,697064.926663943,6496561.16409247,697666.735497487,6495658.45084216,5.3
"422",,144.950626687963,,1070.71354834917,698131.174923375,6496489.20868846,698746.066557648,6495612.6610396,5.2
"423",,8.20235424462422,,733.599896311653,699230.130184629,6496332.21507971,699125.467778796,6495606.11963924,4.8
"424",,164.357753542766,,509.473892379371,693611.067271429,6496338.75648007,693748.436679086,6495848.15145273,4.4
"425",,45.5208563745105,,2035.2902624503,692413.991004705,6492610.15827225,693866.181885649,6494036.18355173,6
"426",,58.3041919729058,,1668.31359875778,692400.908203976,6493578.28552621,693820.392083096,6494454.83317507,5.7
"427",,15.7247457227543,,699.96040563719,691347.742745274,6493166.17730324,691537.443355847,6493839.94154079,4.8
"428",,64.3978124485914,,348.172140991142,691524.360555118,6493794.15173824,691838.347772619,6493944.60394663,4
"429",,9.68878656035796,,272.078222949566,691838.347772619,6493892.27274371,691884.137575172,6494160.47015866,3.7
"430",,101.956584243131,,1136.69889855435,696325.748422742,6495108.97321153,697437.786484726,6494873.4827984,5.3
"431",,54.5445255655163,,1060.02984196392,698510.576144522,6494624.90958455,699374.040992651,6495239.80121882,5.2
"432",,80.7676481490858,,1875.51200188381,698458.244941605,6495651.90944179,700309.46124479,6495952.81385856,5.9
"433",,38.3278000027893,,1234.10760363995,696247.251618367,6495730.40624617,697012.595461026,6496698.53350013,5.4
"434",,56.169501923123,,740.219500782487,698752.607958013,6496534.99849101,699367.499592286,6496947.10671398,4.8
"435",,104.14234664207,,856.723687064995,698844.187563117,6496979.81371581,699674.945409423,6496770.48890414,5
"436",,0.868051449748833,,1295.34593185232,698222.754528479,6497601.24675045,698203.130327386,6496306.04947825,5.4
"437",,97.0626026704048,,744.829709622306,693794.226481638,6493676.40653168,694533.404722839,6493584.82692657,4.8
"438",,60.3168598208832,,1505.8866268817,693983.927092212,6491962.55963615,695292.207165134,6492708.27927772,5.6
"439",,46.1811889133301,,897.531620620309,695416.493772061,6492243.83985183,696064.092408158,6492865.27288647,5
"440",,57.4960110444271,,876.474421168193,697241.544473788,6492878.3556872,697980.722714989,6493349.33651345,5
"441",,31.5221772467982,,575.53172014159,698098.467921552,6493525.95432329,698399.372338324,6494016.55935064,4.5
"442",,65.4622715234264,,1653.88801157241,690778.640913553,6491812.10742776,692283.162997413,6492498.95446605,5.7
"443",,10.6196552761859,,212.972565965195,690916.010321209,6493172.7187036,690955.258723397,6493382.04351527,3.4
